ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats,crime_rate,lag_1,lag_7
13833072,JJ251540,5/12/2025 0:00,018XX W 82ND ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,614,6,17,71,7,1165633.0,1850306.0,2025,5/19/2025 15:43,41.74482555,-87.6686752,"(41.744825545, -87.668675203)",6.0,21554.0,70.0,574.0,31.0,59.0,20.0,237.0,33.333333333333336,18.333333333333336,28.333333333333336
13832918,JJ251320,5/12/2025 0:00,001XX S CLINTON ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,121,1,34,28,7,1172751.0,1899651.0,2025,5/19/2025 15:43,41.88007923,-87.64113751,"(41.880079229, -87.64113751)",48.0,14914.0,29.0,786.0,36.0,45.0,22.0,91.0,65.0,36.66666666666667,45.0
13834342,JJ253240,5/12/2025 0:00,050XX S EAST END AVE,1120,DECEPTIVE PRACTICE,FORGERY,APARTMENT,False,False,222,2,5,39,10,1188165.0,1871757.0,2025,5/19/2025 15:43,41.80318162,-87.58543202,"(41.803181616, -87.585432024)",1.0,21192.0,5.0,400.0,33.0,10.0,24.0,113.0,13.333333333333334,11.666666666666668,16.666666666666668
13834701,JJ252471,5/12/2025 0:00,021XX W WELLINGTON AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,1931,19,32,5,08A,1161377.0,1919897.0,2025,5/19/2025 15:43,41.93587991,-87.68233716,"(41.93587991, -87.682337164)",24.0,21538.0,46.0,616.0,40.0,39.0,5.0,172.0,5.0,1.6666666666666667,1.6666666666666667
13832766,JJ251158,5/12/2025 0:00,049XX W VAN BUREN ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,False,True,1533,15,29,25,08B,1143611.0,1897560.0,2025,5/19/2025 15:43,41.87493635,-87.74818917,"(41.874936354, -87.748189172)",36.0,22216.0,26.0,69.0,7.0,32.0,25.0,137.0,33.333333333333336,58.333333333333336,46.66666666666667
13833138,JJ251603,5/12/2025 0:00,010XX N HERMITAGE AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,1213,12,1,24,5,1164541.0,1906928.0,2025,5/19/2025 15:43,41.90022563,-87.67107729,"(41.900225628, -87.671077292)",24.0,21560.0,25.0,518.0,41.0,4.0,15.0,60.0,31.666666666666668,16.666666666666668,16.666666666666668
13832895,JJ251235,5/12/2025 0:00,082XX S OGLESBY AVE,420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,STREET,False,False,414,4,7,46,04B,1193278.0,1850894.0,2025,5/19/2025 15:43,41.74580846,-87.5673621,"(41.745808456, -87.567362097)",9.0,21202.0,42.0,507.0,35.0,25.0,19.0,222.0,16.666666666666668,16.666666666666668,11.666666666666668
13833447,JJ252145,5/12/2025 0:00,034XX S INDIANA AVE,810,THEFT,OVER $500,STREET,False,False,211,2,3,35,6,1178166.0,1882176.0,2025,5/19/2025 15:43,41.83200512,-87.62178625,"(41.832005124, -87.621786251)",12.0,21194.0,1.0,25.0,9.0,40.0,24.0,169.0,15.0,18.333333333333336,21.666666666666668
13836298,JJ255585,5/12/2025 0:00,087XX S SAGINAW AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,423,4,7,46,08A,1195392.0,1847624.0,2025,5/19/2025 15:43,41.73678341,-87.55972385,"(41.736783409, -87.559723854)",43.0,21202.0,42.0,508.0,37.0,25.0,19.0,238.0,16.666666666666668,16.666666666666668,11.666666666666668
13840615,JJ260949,5/12/2025 0:00,085XX S TRIPP AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,834,8,18,70,11,,,2025,5/20/2025 16:02,,,,,,,,,,,,13.333333333333334,1.6666666666666667,10.0
13832860,JJ251171,5/12/2025 0:01,074XX S RACINE AVE,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,False,False,734,7,17,67,04B,1169605.0,1855636.0,2025,5/20/2025 16:02,41.75936667,-87.65396701,"(41.759366666, -87.653967008)",17.0,22257.0,65.0,408.0,31.0,23.0,17.0,216.0,25.0,21.666666666666668,15.0
13832923,JJ251318,5/12/2025 0:01,005XX N MILWAUKEE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1214,12,27,24,08B,1170736.0,1903877.0,2025,5/20/2025 16:02,41.89172001,-87.64841244,"(41.891720013, -87.648412441)",41.0,22620.0,25.0,522.0,46.0,49.0,15.0,76.0,31.666666666666668,16.666666666666668,16.666666666666668
13832748,JJ251125,5/12/2025 0:05,036XX N OCONTO AVE,580,STALKING,SIMPLE,RESIDENCE,False,True,1631,16,38,17,08A,1127098.0,1923328.0,2025,5/20/2025 16:02,41.94594016,-87.80824006,"(41.94594016, -87.808240064)",39.0,22254.0,17.0,392.0,19.0,52.0,12.0,29.0,6.666666666666667,10.0,3.3333333333333335
13832781,JJ251098,5/12/2025 0:07,028XX W 63RD ST,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,False,False,823,8,15,66,14,1158712.0,1862748.0,2025,5/20/2025 16:02,41.77911217,-87.6936959,"(41.779112173, -87.693695901)",44.0,21867.0,64.0,182.0,2.0,58.0,13.0,276.0,28.333333333333336,18.333333333333336,23.333333333333336
13832800,JJ251136,5/12/2025 0:09,034XX W MC LEAN AVE,560,ASSAULT,SIMPLE,APARTMENT,True,True,1413,14,26,22,08A,1153236.0,1913411.0,2025,5/20/2025 16:02,41.91824753,-87.71242871,"(41.918247533, -87.712428712)",10.0,22535.0,23.0,321.0,49.0,1.0,7.0,185.0,23.333333333333336,16.666666666666668,13.333333333333334
13832830,JJ251188,5/12/2025 0:15,042XX N LINCOLN AVE,281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,BAR OR TAVERN,False,False,1911,19,47,5,2,1161476.0,1928111.0,2025,5/20/2025 16:02,41.95841752,-87.68174385,"(41.958417522, -87.681743845)",13.0,21538.0,46.0,623.0,18.0,39.0,5.0,10.0,5.0,1.6666666666666667,1.6666666666666667
